"Subject","Visualization","StartCond","Threshold","Spread","ConfidenceFitness","CompletionTime"
"b186192f1a0abb93ddf6e59318caeda1","hf","hf",5.3093,4.2465,0.0088924,778166
"4e0f71bca69acdece2ac0fbb7da8bbb4","h","h",1.9898,2.3387,0.74875,397586
"0f5cceb670074ce0503dd09a8de279ae","h","h",2.6391,0.31066,0.0021447,240273
"203c5e0870a25d11bc8c0ea067490301","h","h",2.1598,1.4026,0.0018422,362034
"ea7a56b4c63606f2f2ab27bc1ef32fe3","h","h",3.6659,1.8616,0.0029544,413109
"d44cf6d59a8f8a8b93ad5cc492512e46","h","h",1.306,9.1001,0.03607,314341
"3d674967e147df3e6dc8d39a94b4aedc","c","c",3.6269,3.9154,1.7859e-05,473274
"737e20233c8481499ef87c3196e77993","c","c",3.7059,0.15125,0.0063894,994326
"1c39efd318ba0fa6e58d984ffd17e356","c","c",2.8667,1.471,6.2815e-06,296882
"5233953230dc86c11f53b1f3bf93e96d","c","c",1.5093,2.4286,0.010482,682652
"5b91f8aad5f709058940ac2b1122bc94","c","c",3.4879,1.6193,0.0088416,797323
"2e2db777a21c2b8b9e5e4ec588763c88","c","c",3.8597,2.5792,0.0091036,766696
"216815f620c296256e52632f3aece692","c","c",1.9608,1.8256,2.928e-08,342397
"f7c429c42bcd045c4f77750e4ed09323","hf","hf",1.7739,0.0014013,0.5,310484
"a0f80b44bc93ed90f129611ea0fbfbd5","hf","hf",1.9994,1.4613,0.98278,401168
"4e373aa3eb43e90c791b5626e1898623","hf","hf",3.205,0.023,0.5,656185
"9394ed96fe8c6be9ea3e477996712421","hf","hf",3.1457,1.1574,0.0090778,377863
"97b6b6907936a28aa2fc157652195126","hf","hf",3.3354,2.5206,0.00033953,374768
"dfabf5cbddf8e4d24c1f7c8174203f14","hf","hf",2.3617,2.0852,0.0056484,296097
"d7b39b3c27c19e4742c003bb0e54d961","h","h",1.8464,1.7006,0.0024994,409820
"e3ce161c50720e06f1d620bb948e55c1","h","h",3.1327,2.8862,0.75266,290318
"659adea21f98a58a5aab89af7afd3530","hf","hf",3.6499,2.1147,0.45754,390913
"5523c4ad155c40bb2d465aef7b45effc","hf","hf",7.7912,1.1404,0.00010464,485483
